Temp[ºC]		Registro_Termistor
56			76
48			77
41			78
40			82
39			84
38			87
37			90
36			92
35			96
33			98
32			100
29			105
28,5			107
28			109
27,5			111
27			113
26,5			115
26			117
25,5			121
25			125
24,5			127
24			129
23,5			131
23			134
22,5			136
22			139
21,5			143
21			147
20,5			150
20			153
19,5			154
19			156
18,5			157
18			159
17,5			160
17			161
16,5			162
16			163
15,5			164
15			166
13			167
12.5			168				
12			169
11			170
10			171
9.5			172
9			173
8.5			174
8			175
7.5			177
7			178
6.5			183
6			188

